# COMPETICAO: Rally Barretos 2025
# ARQUIVO_ORIGEM: Result-Acumulado_ate_D6-Geral_UTV-Sertoes25-ExOf-v2.pdf
# INFO_GERAL: SERTOES PETROBRAS 02/08/2025 - 20:33:02 | Resultados Oficiais | Campeonato Brasileiro Rally Raid 2025 | Geral - UTV | ACUMULADO ATÉ Dia 6: Petrolina/PE - Delmiro Gouveia/AL (1676.9km) | Penal TOTAL

POS;NUM;PILOTO_INFO;DIA 1;DIA 2;DIA 3;TEMPO;TOTAL DIF.LIDER DIF.ANTERIOR;(POS)CAT;DIA 4;DIA 5;DIA 6;PENAL BONUS;COL_1;COL_2;COL_3;COL_4;COL_5;COL_6;COL_7;COL_8;COL_9;COL_10;COL_11;COL_12;COL_13;COL_14
;;;;;;;;;;;;;51;120;RODRIGO LUPPI (BRA) MAYKEL JUSTO (BRA) CAN-AM MAVERICK R LUPPI RACING;(12)UOP;04:10:07.96 (15);03:59:32.22 (11);04:58:55.29 (3);12:40:00.00 (55);03:56:57.21 (4);03:20:55.99 (17);26:42:50.67;06:30:30.00 00:06:52.00;33:06:28.67 07:54:39.35 00:14:06.03;
;;;;;;;;;;;;;52;169;JOAO DIAS (PRT) MARIO OURIVES (PRT) CAN-AM MAVERICK GUGELMIN RACING;(17)ULT;04:21:26.35 (37);04:17:40.49 (43);08:40:00.00 (59);05:16:32.96 (18);03:59:06.31 (15);06:40:00.00 (48);29:14:11.10;04:07:30.00 00:06:55.00;33:14:46.11 08:02:56.79 00:08:17.44;
;;;;;;;;;;;;;53;117;BRUNO CONTI (BRA) JHONATAN ARDIGO (BRA) CAN-AM MAVERICK R LUPPI RACING;(18)ULT;04:21:23.14 (36);07:30:00.00 (58);05:04:07.40 (13);05:08:43.19 (6);03:57:06.84 (5);07:40:00.00 (55);28:48:42.50;05:00:13.00 00:07:35.00;33:41:20.57 08:29:31.25 00:26:34.46;
;;;;;;;;;;;;;54;180;MARLON BONILHA (BRA) EMERSON LOTH (BRA) CAN-AM MAVERICK R BIANCHINI RALLY;(11)UT1;04:29:43.46 (46);06:00:00.00 (53);06:08:49.20 (51);06:17:30.86 (52);04:18:33.66 (53);06:40:00.00 (48);31:21:48.10;02:40:00.00 00:07:11.00;33:54:37.18 08:42:47.86 00:13:16.61;
;;;;;;;;;;;;;55;132;MAX FERNANDES (BRA) GEORGE MARTINS (BRA) CAN-AM MAVERICK R VARELA RALLY TEAM;(12)UT1;04:34:47.43 (48);04:01:41.98 (16);05:09:33.00 (28);12:40:00.00 (55);04:14:05.35 (52);03:25:16.14 (25);27:21:59.90;06:50:30.00 00:07:06.00;34:05:23.90 08:53:34.58 00:10:46.72;
;;;;;;;;;;;;;56;174;HERON PARIZZI (BRA) IRADI BIASUZ (BRA) POLARIS RZR PRO R DANGO RACING;(5)UT3;04:36:43.70 (52);04:08:26.95 (32);08:40:00.00 (59);05:43:17.12 (49);04:30:05.39 (58);06:40:00.00 (48);30:33:21.10;04:01:05.00 00:15:53.00;34:18:33.16 09:06:43.84 00:13:09.26;
;;;;;;;;;;;;;57;130;MARCOS MIOTTO (BRA) VITOR SIQUEIRA (BRA) CAN-AM MAVERICK R DUST RALLY TEAM;(19)ULT;04:11:24.10 (19);04:03:34.49 (21);05:21:39.24 (43);12:40:00.00 (55);04:04:07.63 (32);07:40:00.00 (55);29:06:41.40;09:01:10.00 00:07:06.00;38:00:45.46 12:48:56.14 03:42:12.30;
;;;;;;;;;;;;;58;150;ZECA SAWAYA (BRA) MINAE MIYAUTI (BRA) CAN-AM MAVERICK R COTTON RACING;;(13)UOP;05:04:29.61 (56);04:42:11.65 (50);06:19:38.61 (52);13:40:00.00 (59);04:27:47.08 (56);04:20:14.89 (40);30:54:49.80;07:47:00.00 00:07:28.00;38:34:21.84 13:22:32.52 00:33:36.38
;;;;;;;;;;;;;59;141;LEANDRO MOKFA (BRA) GABRIEL DALL AGNOL (BRA) CAN-AM MAVERICK R DANGO RACING;;(14)UOP;04:12:55.06 (20);04:00:51.28 (13);05:10:34.55 (31);17:22:22.55 (60);04:07:01.13 (43);11:40:00.00 (59);28:39:04.50;18:01:20.00 00:06:40.00;46:33:44.57 21:21:55.25 07:59:22.73
;;;;;;;;;;;;;60;126;THIAGO TORRES (BRA) EDUARDO SHIGA (BRA) CAN-AM MAVERICK R T+A RALLY TEAM;;(13)UT1;04:13:16.30 (21);03:59:59.33 (12);07:40:00.00 (54);12:10:00.00 (54);11:20:00.00 (60);11:40:00.00 (59);30:39:59.60;20:30:10.00 00:06:54.00;51:03:15.63 25:51:26.31 04:29:31.06
;;;;;;;;;;;;;61;104;TOMAS LUZA (BRA) FLAVIO FRANCA (BRA) CAN-AM MAVERICK R COTTON RACING;;(20)ULT;07:00:00.00 (59);11:30:00.00 (61);12:40:00.00 (61);17:40:00.00 (61);11:20:00.00 (60);11:40:00.00 (59);32:50:00.00;39:00:00.00 * * *;71:50:00.00 46:38:10.68 20:46:44.37
